Symbol
AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
META
NFLX
ADBE
CRM
ORCL
IBM
INTC
AMD
QCOM
TXN
ADI
MU
MRVL
MCHP
JPM
BAC
WFC
C
GS
MS
BLK
SCHW
AXP
V
MA
PYPL
SQ
JNJ
PFE
UNH
MRK
ABT
TMO
DHR
GILD
BIIB
MRNA
REGN
VRTX
AMGN
MDT
SYK
BSX
XOM
CVX
COP
PSX
SLB
HAL
EOG
KMI
WMB
WMT
HD
TGT
COST
LOW
NKE
SBUX
MCD
KO
PEP
PG
KMB
CAT
GE
HON
MMM
BA
RTX
UPS
FDX
NEE
SO
DUK
AEP
XEL
AMT
CCI
PLD
SPG
O
WELL
NOW
WDAY
VEEV
ADSK
ANSS
CDNS
SNPS
INTU
PANW
CRWD
ZS
OKTA
DDOG
NET
FSLY
SNOW
MDB
PLTR
RBLX
ROKU
TWTR
SNAP
PINS
MTCH
SPOT
SHOP
ETSY
UBER
LYFT
DASH
AI
PATH
U
GLUU
TTWO
EA
ATVI
ZEN
BOX
DBX
WORK
TEAM
FIVN
PCTY
PLAN
DOCU
ESTC
DOMO
SMAR
AYX
ILMN
INCY
BMRN
ALXN
SGEN
BLUE
EXAS
ARWR
FOLD
CRSP
EDIT
NTLA
BEAM
VCYT
PACB
CDNA
FATE
RGEN
KRTX
RARE
IONS
SRPT
IMGN
HALO
JAZZ
HZNP
CORT
ACAD
SAGE
NBIX
USB
PNC
TFC
MTB
RF
HBAN
KEY
CFG
FITB
CMA
ZION
BX
KKR
APO
TROW
IVZ
BEN
NTRS
STT
PRU
MET
AFL
ALL
AIG
TRV
CB
PGR
HIG
AON
MMC
BKR
FTI
NOV
HP
RIG
VAL
VLO
MPC
PXD
OKE
EPD
ET
MPLX
PAA
SRE
FANG
DVN
MRO
APA
HES
CNX
RRC
CLR
MTDR
SM
LMT
NOC
GD
LDOS
TXT
CW
KTOS
AJRD
ITW
EMR
ROK
PH
IR
OTIS
CARR
JCI
CMI
PCAR
WAB
ALK
FLR
PWR
BLDR
URI
UNF
YUM
QSR
CMG
DPZ
DRI
EAT
TXRH
SHAK
TJX
ROST
GPS
ANF
AEO
URBN
EXPR
ZUMZ
LULU
F
GM
RIVN
LCID
NIO
XPEV
LI
FSR
WEC
ETR
ES
CMS
ED
PCG
PEG
PPL
FE
AES
CNP
DTE
NI
